period_type,period,n_blocks,n_tx,n_outputs,total_output_btc,mean_btc,median_btc_approx,mode_btc_approx,p90_btc_approx,p99_btc_approx
all,all,266221,718708927,2006219919,2941291292.62796974,4.09246522776,0.0026607250598,5.30884444231e-06,0.421696503429,26.607250598
month,2021-05,1243,2152971,7354881,20835564.91609653,9.67758735073,0.026607250598,0.0133352143216,2.11348903984,74.9894209332
month,2021-06,3538,6509477,21728878,45532254.70863717,6.99476389711,0.0237137370566,0.0133352143216,1.67880401812,47.3151258961
month,2021-07,4371,6812168,21747818,64413116.32583026,9.45559714996,0.0211348903984,0.0149623565609,1.67880401812,47.3151258961
month,2021-08,4844,7448302,23112840,87186669.31511272,11.7055765616,0.0167880401812,0.0105925372518,1.33352143216,42.1696503429
month,2021-09,4480,7607098,23724818,144376641.56753132,18.9792009473,0.0149623565609,0.0105925372518,1.49623565609,53.0884444231
month,2021-10,4682,8446855,26553749,118179123.66158478,13.9909023727,0.0133352143216,0.00841395141645,1.33352143216,74.9894209332
month,2021-11,4377,8295538,26266535,134446347.48685032,16.2070678824,0.0118850222744,0.00841395141645,1.49623565609,94.4060876286
month,2021-12,4588,8117421,26684860,107903744.46399955,13.2928604373,0.0133352143216,0.0105925372518,1.49623565609,94.4060876286
month,2022-01,4659,7737660,25634261,128456339.92909205,16.6014453891,0.0149623565609,0.0105925372518,1.49623565609,94.4060876286
month,2022-02,4097,6992031,23329099,117546691.78547259,16.8115232592,0.0149623565609,0.0118850222744,1.49623565609,66.8343917569
month,2022-03,4542,7974893,26667005,125796369.77226278,15.7740511092,0.0133352143216,0.0105925372518,1.33352143216,94.4060876286
month,2022-04,4418,7820283,25950986,151251926.37346074,19.3409786287,0.0133352143216,0.0118850222744,1.18850222744,105.925372518
month,2022-05,4475,8053449,26547347,142109795.82586762,17.6458304791,0.0188364908949,0.0167880401812,1.67880401812,167.880401812
month,2022-06,4298,7510524,24760344,143824234.51803064,19.1496937521,0.0211348903984,0.00473151258961,2.11348903984,167.880401812
month,2022-07,4341,7678375,25402807,101926072.41907577,13.2744327308,0.0237137370566,0.00473151258961,1.88364908949,118.850222744
month,2022-08,4647,7814861,26008921,106974641.44065002,13.6886172947,0.0211348903984,0.0118850222744,1.67880401812,105.925372518
month,2022-09,4373,7679217,25467852,100908830.85719728,13.1405104006,0.0237137370566,0.0105925372518,1.88364908949,118.850222744
month,2022-10,4743,7968390,25749678,58294219.61457587,7.31568354643,0.0211348903984,0.0105925372518,1.67880401812,66.8343917569
month,2022-11,4182,7869755,25928173,66708443.58142334,8.47655912813,0.026607250598,0.0118850222744,2.11348903984,74.9894209332
month,2022-12,4413,7953752,25879890,26287081.90744448,3.30499139368,0.026607250598,0.0118850222744,1.88364908949,42.1696503429
month,2023-01,4726,8753470,26607981,25807485.05116350,2.94825766823,0.0188364908949,2.37137370566e-05,1.49623565609,42.1696503429
month,2023-02,4209,8384387,24859814,21484042.12580981,2.56238674644,0.0133352143216,0.000105925372518,1.05925372518,42.1696503429
month,2023-03,4674,9771291,29166484,29874673.17152467,3.05739263845,0.0133352143216,0.000105925372518,1.18850222744,47.3151258961
month,2023-04,4309,10723294,30683638,24940779.45533089,2.32585056936,0.00668343917569,5.30884444231e-06,0.668343917569,29.8538261892
month,2023-05,4612,16295491,41985376,25052165.32800528,1.53736793374,0.000668343917569,5.30884444231e-06,0.188364908949,14.9623565609
month,2023-06,4313,12142868,33650997,30974766.32664490,2.55086082848,0.00298538261892,5.30884444231e-06,0.473151258961,33.4965439158
month,2023-07,4501,14128206,37956542,24306553.66419305,1.72042746717,0.000530884444231,3.34965439158e-06,0.26607250598,21.1348903984
month,2023-08,4521,14409519,38640362,25571068.51898827,1.77459556554,0.000334965439158,2.98538261892e-06,0.26607250598,16.7880401812
month,2023-09,4426,14670546,38389888,21152598.75980873,1.4418412757,2.11348903984e-05,2.98538261892e-06,0.237137370566,14.9623565609
month,2023-10,4671,10134466,30392877,26434782.58065871,2.60840409161,0.00668343917569,5.30884444231e-06,0.749894209332,33.4965439158
month,2023-11,4438,16413256,43201526,23775535.96365509,1.44855694468,1.67880401812e-05,5.30884444231e-06,0.167880401812,11.8850222744
month,2023-12,4599,17535200,46485050,23655156.66035590,1.34900980088,0.000749894209332,5.30884444231e-06,0.149623565609,10.5925372518
month,2024-01,4522,14738491,39528375,28104520.34758357,1.90687909282,0.00105925372518,5.30884444231e-06,0.188364908949,14.9623565609
month,2024-02,4295,10564310,32728803,25934313.18711888,2.45489891788,0.00375837404288,5.30884444231e-06,0.473151258961,23.7137370566
month,2024-03,4562,11628673,37358342,31102982.35237206,2.67468027972,0.00375837404288,5.30884444231e-06,0.473151258961,29.8538261892
month,2024-04,4407,14470675,45221163,23823199.13050821,1.64630876794,0.0026607250598,5.30884444231e-06,0.149623565609,11.8850222744
month,2024-05,4410,18189378,47146146,21273407.70893479,1.16955113632,0.00237137370566,5.30884444231e-06,0.0668343917569,6.68343917569
month,2024-06,4179,17416053,44476200,19881888.47588933,1.14158405902,0.00188364908949,5.30884444231e-06,0.0530884444231,5.95662143529
month,2024-07,4712,19507548,48603385,23142195.70108480,1.1863200696,0.000749894209332,5.30884444231e-06,0.0421696503429,7.49894209332
month,2024-08,4430,18543679,46131446,23993636.39299944,1.29389838947,0.000421696503429,5.30884444231e-06,0.0473151258961,8.41395141645
month,2024-09,4263,17759016,43747847,24502258.75077824,1.37970812971,0.000473151258961,5.30884444231e-06,0.0530884444231,8.41395141645
month,2024-10,4761,20476392,50343587,20475696.57069974,0.999966037508,0.000944060876286,5.30884444231e-06,0.0473151258961,6.68343917569
month,2024-11,4363,16101851,41383062,25230969.83089143,1.56696083145,0.00149623565609,3.34965439158e-06,0.149623565609,14.9623565609
month,2024-12,4569,12799069,34892927,22865456.95124820,1.78649376382,0.00211348903984,3.34965439158e-06,0.26607250598,18.8364908949
month,2025-01,4434,11542060,31362910,21505582.65552530,1.86323608225,0.00188364908949,3.34965439158e-06,0.298538261892,21.1348903984
month,2025-02,4091,11380466,30304175,19033812.61879479,1.67249852676,0.00149623565609,3.34965439158e-06,0.211348903984,23.7137370566
month,2025-03,4541,12035942,34237271,18420445.89537160,1.53045319555,0.00237137370566,3.34965439158e-06,0.237137370566,21.1348903984
month,2025-04,4344,12430194,34068571,18046388.98716765,1.45181877187,0.00211348903984,3.34965439158e-06,0.211348903984,18.8364908949
month,2025-05,4628,12145104,32749660,20272133.44517291,1.66916095944,0.00188364908949,3.34965439158e-06,0.26607250598,18.8364908949
month,2025-06,4158,10281825,28463494,16987661.16116038,1.65220290767,0.00211348903984,3.34965439158e-06,0.334965439158,18.8364908949
month,2025-07,4574,12980471,35678820,20048526.76677399,1.54451458401,0.00149623565609,3.34965439158e-06,0.188364908949,14.9623565609
month,2025-08,4588,14098420,37773290,18786525.97115069,1.33252704708,0.00118850222744,0.000841395141645,0.133352143216,14.9623565609
month,2025-09,4532,15191371,37232284,19306659.22335129,1.27089643347,0.000668343917569,3.34965439158e-06,0.0944060876286,11.8850222744
month,2025-10,4534,14492395,37523436,23881739.72274720,1.64788081768,0.00105925372518,0.000944060876286,0.149623565609,21.1348903984
month,2025-11,4257,12863817,34222748,26909378.83092928,2.09186579931,0.00149623565609,0.000944060876286,0.298538261892,33.4965439158
month,2025-12,4401,14237124,37436376,22720226.81798390,1.59584385287,0.000944060876286,0.000298538261892,0.167880401812,23.7137370566
month,2026-01,4201,12112978,32308024,22790301.46754970,1.88147798729,0.00118850222744,0.00105925372518,0.237137370566,29.8538261892
month,2026-02,4239,13116622,34775005,25801677.56779345,1.96709774573,0.00105925372518,0.000749894209332,0.188364908949,29.8538261892
month,2026-03,4349,14722963,37747400,21521595.18108667,1.46177064909,0.000944060876286,0.00149623565609,0.105925372518,16.7880401812
month,2026-04,4219,16802126,39570852,22843659.70517567,1.35956959882,0.000595662143529,0.00149623565609,0.0595662143529,11.8850222744
month,2026-05,3348,14274900,32683043,16096733.13371764,1.12762493143,0.000421696503429,5.30884444231e-06,0.0421696503429,9.44060876286
year,2021,32123,55389830,177174379,722873462.44564533,13.0506532056,0.0167880401812,0.0105925372518,1.49623565609,59.5662143529
year,2022,53188,93053190,307326363,1270084648.02454376,13.6490178147,0.0188364908949,0.0118850222744,1.67880401812,94.4060876286
year,2023,53999,153361994,422020535,303029607.60613811,1.97591071753,0.0026607250598,5.30884444231e-06,0.421696503429,23.7137370566
year,2024,53473,192195135,511561283,290330525.40010679,1.51060288493,0.00118850222744,5.30884444231e-06,0.105925372518,10.5925372518
year,2025,53082,153679189,411053035,245919082.09612983,1.60021069669,0.00149623565609,3.34965439158e-06,0.211348903984,18.8364908949
year,2026,20356,71029589,177084324,109053967.05532281,1.53533152297,0.000749894209332,0.000944060876286,0.0944060876286,16.7880401812
